Metoda;D³ugoœæ kroku;x0(1);x0(2);x(1);x(2);f_calls;Minimum Globalne;Sukces
Rosenbrock;0.1;-0.612217;-0.821249;-0.774715;-0.774715;115;1,23967; ;NIE
Rosenbrock;0.1;-0.706493;0.669646;-0.774717;0.774715;163;1,23967; ;NIE
Rosenbrock;0.1;-0.260326;-0.396182;-0.0603277;-0.196183;35;1,12232; ;NIE
Rosenbrock;0.1;-0.274137;-0.687661;-0.0741386;-0.774714;35;0,790124; ;NIE
Rosenbrock;0.1;0.878995;0.409169;0.778996;0.609168;35;1,91956; ;NIE
Rosenbrock;0.1;-0.73585;-0.760524;-0.774717;-0.774716;89;1,23967; ;NIE
Rosenbrock;0.1;-0.430631;0.97458;-0.230633;0.874582;35;2,22307; ;NIE
Rosenbrock;0.1;0.174604;-0.683573;8.70814e-07;-0.774715;165;0,619837; ;NIE
Rosenbrock;0.1;0.679606;-0.655472;0.774716;-0.774716;177;1,23967; ;NIE
Rosenbrock;0.1;-0.268275;0.253345;-0.0682765;0.153346;35;0,810268; ;NIE
Rosenbrock;0.1;0.701179;-0.942323;0.774716;-0.774717;173;1,23967; ;NIE
Rosenbrock;0.1;-0.86595;-0.0420466;-0.774716;3.5194e-07;161;0,619837; ;NIE
Rosenbrock;0.1;0.882412;-0.479415;0.784717;-0.76456;39;1,24602; ;NIE
Rosenbrock;0.1;0.436855;-0.724913;0.636854;-0.774716;35;1,73999; ;NIE
Rosenbrock;0.1;-0.0374211;-0.725604;1.3098e-07;-0.774715;133;0,619837; ;NIE
Rosenbrock;0.1;0.75983;-0.531891;0.774715;-0.774715;157;1,23967; ;NIE
Rosenbrock;0.1;-0.396806;-0.0700384;-0.196808;-5.33551e-07;35;1,01366; ;NIE
Rosenbrock;0.1;-0.757834;-0.738327;-0.774716;-0.774715;93;1,23967; ;NIE
Rosenbrock;0.1;-0.963446;-0.0656774;-0.774716;1.10756e-06;99;0,619837; ;NIE
Rosenbrock;0.1;0.0221814;-0.868923;-2.27456e-07;-0.774715;183;0,619837; ;NIE
Rosenbrock;0.1;0.699701;-0.0820662;0.774716;1.67195e-08;175;0,619837; ;NIE
Rosenbrock;0.1;0.310231;-0.000106693;0.0103297;-1.03734e-05;57;0,00339591; ;NIE
Rosenbrock;0.1;-0.87004;-0.975676;-0.774715;-0.775677;35;1,2397; ;NIE
Rosenbrock;0.1;-0.553796;-0.739855;-0.774716;-0.774716;189;1,23967; ;NIE
Rosenbrock;0.1;0.925025;-0.0482329;0.774717;1.02137e-06;207;0,619837; ;NIE
Rosenbrock;0.1;0.360368;0.250773;0.114151;0.114149;39;0,777418; ;NIE
Rosenbrock;0.1;-0.590821;-0.769209;-0.774716;-0.774716;195;1,23967; ;NIE
Rosenbrock;0.1;-0.268785;-0.285882;-0.0687866;-0.085884;35;0,373527; ;NIE
Rosenbrock;0.1;-0.199438;-0.666126;-5.94413e-08;-0.774717;235;0,619837; ;NIE
Rosenbrock;0.1;0.0714077;-0.733052;6.38104e-07;-0.774714;191;0,619837; ;NIE
Rosenbrock;0.1;-0.766896;0.167676;-0.774715;-1.42218e-06;163;0,619837; ;NIE
Rosenbrock;0.1;-0.234624;-0.758353;-0.0346253;-0.774717;35;0,657786; ;NIE
Rosenbrock;0.1;-0.106874;-0.94315;-1.54041e-07;-0.774714;109;0,619837; ;NIE
Rosenbrock;0.1;-0.460651;-0.963714;-0.260653;-0.774716;35;2,14633; ;NIE
Rosenbrock;0.1;-0.666858;0.194499;-0.774716;1.35057e-07;195;0,619837; ;NIE
Rosenbrock;0.1;-0.617764;0.580434;-0.774717;0.774716;171;1,23967; ;NIE
Rosenbrock;0.1;0.820253;0.468554;0.774715;0.668553;35;1,55403; ;NIE
Rosenbrock;0.1;-0.772355;0.756263;-0.774715;0.774715;175;1,23967; ;NIE
Rosenbrock;0.1;0.936097;-0.862391;0.774714;-0.774715;187;1,23967; ;NIE
Rosenbrock;0.1;-0.309353;-0.137791;-0.109354;5.18088e-07;35;0,358662; ;NIE
Rosenbrock;0.1;0.676314;-0.310642;0.774716;-0.110643;35;0,986482; ;NIE
Rosenbrock;0.1;0.642737;-0.296296;0.774716;-0.096298;35;0,901746; ;NIE
Rosenbrock;0.1;-0.768992;-0.220947;-0.774714;-0.0209486;35;0,633781; ;NIE
Rosenbrock;0.1;0.629124;-0.456975;0.774716;-0.256976;35;2,11858; ;NIE
Rosenbrock;0.1;0.453413;0.653234;0.653411;0.774716;35;1,63949; ;NIE
Rosenbrock;0.1;-0.183413;0.918433;-7.58877e-07;0.774716;141;0,619837; ;NIE
Rosenbrock;0.1;0.0722977;0.36592;6.7316e-08;0.565918;35;1,58476; ;NIE
Rosenbrock;0.1;-0.837577;0.351741;-0.782299;0.100497;39;0,927397; ;NIE
Rosenbrock;0.1;-0.852117;0.111452;-0.774715;1.0549e-06;145;0,619837; ;NIE
