Metoda,Dlugosc kroku,x0(1),x0(2),x(1),x(2),y*,f_calls,Minimum Globalne
Hooke-Jeeves,0.1,0.94429,-0.336631,0.774716,4.91516e-07,0.619837,180,NIE,
Hooke-Jeeves,0.1,-0.0841746,0.833561,4.67888e-07,0.774715,0.619837,173,NIE,
Hooke-Jeeves,0.1,0.532216,-0.639018,0.774716,-0.774716,1.23967,179,NIE,
Hooke-Jeeves,0.1,0.605312,-0.722589,0.774716,-0.774716,1.23967,189,NIE,
Hooke-Jeeves,0.1,0.118143,-0.201807,2.124e-07,-6.81369e-07,1.62199e-11,184,TAK,
Hooke-Jeeves,0.1,0.888519,-0.852843,0.774716,-0.774716,1.23967,178,NIE,
Hooke-Jeeves,0.1,0.95233,-0.127998,0.774716,6.13818e-07,0.619837,171,NIE,
Hooke-Jeeves,0.1,0.187255,0.518113,-5.4552e-07,0.774715,0.619837,165,NIE,
Hooke-Jeeves,0.1,0.282476,0.0415584,6.81369e-07,-4.54551e-07,2.13625e-11,189,TAK,
Hooke-Jeeves,0.1,0.320893,0.79158,-6.1875e-07,0.774716,0.619837,188,NIE,
Hooke-Jeeves,0.1,0.0177339,0.151074,1.71024e-07,-5.38281e-07,1.01577e-11,174,TAK,
Hooke-Jeeves,0.1,0.795339,0.327099,0.774715,7.02961e-07,0.619837,197,NIE,
Hooke-Jeeves,0.1,0.000182298,0.846394,7.18098e-07,0.774716,0.619837,147,NIE,
Hooke-Jeeves,0.1,0.803871,-0.45214,0.774716,-3.97086e-07,0.619837,199,NIE,
Hooke-Jeeves,0.1,-0.322947,-0.520387,4.8334e-07,-0.774716,0.619837,203,NIE,
Hooke-Jeeves,0.1,0.90404,0.429705,0.774716,0.774715,1.23967,179,NIE,
Hooke-Jeeves,0.1,-0.401461,-0.330818,3.75752e-07,-1.56834e-07,5.27889e-12,194,TAK,
Hooke-Jeeves,0.1,-0.239923,-0.565382,4.88165e-07,-0.774716,0.619837,166,NIE,
Hooke-Jeeves,0.1,-0.16948,0.0988035,-1.67407e-07,-1.97951e-07,2.14007e-12,160,TAK,
Hooke-Jeeves,0.1,-0.452575,-0.215769,5.12401e-07,7.61744e-07,2.68372e-11,202,TAK,
Hooke-Jeeves,0.1,0.288176,0.0413956,4.30094e-07,1.3418e-08,5.89617e-12,174,TAK,
Hooke-Jeeves,0.1,0.431637,-0.696063,0.774715,-0.774716,1.23967,187,NIE,
Hooke-Jeeves,0.1,-0.771028,-0.222315,-0.774715,-6.39025e-07,0.619837,151,NIE,
Hooke-Jeeves,0.1,-0.218757,0.916184,-4.54154e-07,0.774716,0.619837,183,NIE,
Hooke-Jeeves,0.1,-0.00680095,0.664327,-1.02877e-07,0.774715,0.619837,167,NIE,
Hooke-Jeeves,0.1,-0.353884,-0.526542,5.21438e-07,-0.774715,0.619837,196,NIE,
Hooke-Jeeves,0.1,0.270337,0.435303,1.97817e-07,0.774716,0.619837,179,NIE,
Hooke-Jeeves,0.1,-0.54897,-0.0265659,-0.774716,-3.60318e-07,0.619837,168,NIE,
Hooke-Jeeves,0.1,-0.28942,-0.999843,5.86096e-07,-0.774715,0.619837,197,NIE,
Hooke-Jeeves,0.1,0.379201,-0.0717001,0.774716,-5.39007e-07,0.619837,176,NIE,
Hooke-Jeeves,0.1,-0.401024,-0.228827,1.1928e-07,3.67031e-07,4.74265e-12,204,TAK,
Hooke-Jeeves,0.1,0.976373,-0.464858,0.774716,-0.774716,1.23967,159,NIE,
Hooke-Jeeves,0.1,-0.328575,0.812544,3.84787e-07,0.774716,0.619837,187,NIE,
Hooke-Jeeves,0.1,-0.389307,0.0557805,-3.53726e-07,4.8769e-07,1.15574e-11,184,TAK,
Hooke-Jeeves,0.1,0.193709,0.219323,3.70006e-07,7.14573e-07,2.06186e-11,174,TAK,
Hooke-Jeeves,0.1,0.897281,-0.201477,0.774716,2.61721e-07,0.619837,135,NIE,
Hooke-Jeeves,0.1,0.450122,-0.104161,0.774716,2.21983e-07,0.619837,196,NIE,
Hooke-Jeeves,0.1,-0.47087,0.880446,-0.774716,0.774716,1.23967,172,NIE,
Hooke-Jeeves,0.1,-0.639005,0.67327,-0.774716,0.774715,1.23967,175,NIE,
Hooke-Jeeves,0.1,0.032685,0.304795,6.68438e-07,4.88535e-07,2.18274e-11,182,TAK,
Hooke-Jeeves,0.1,0.544688,-0.797206,0.774715,-0.774716,1.23967,183,NIE,
Hooke-Jeeves,0.1,0.595897,0.867286,0.774716,0.774716,1.23967,174,NIE,
Hooke-Jeeves,0.1,0.635007,-0.452323,0.774716,-2.20875e-07,0.619837,185,NIE,
Hooke-Jeeves,0.1,0.933888,-0.648448,0.774716,-0.774716,1.23967,182,NIE,
