Metoda,Dlugosc kroku,x0(1),x0(2),x(1),x(2),y*,f_calls,Minimum Globalne
Rosenbrock,0.1,0.94429,-0.336631,0.774716,-4.09036e-07,0.619837,209,NIE
Rosenbrock,0.1,-0.0841746,0.833561,2.53475e-07,0.774715,0.619837,239,NIE
Rosenbrock,0.1,0.532216,-0.639018,0.774715,-0.774715,1.23967,133,NIE
Rosenbrock,0.1,0.605312,-0.722589,0.774716,-0.774716,1.23967,231,NIE
Rosenbrock,0.1,0.118143,-0.201807,-9.95876e-08,-2.28867e-07,1.62199e-11,239,TAK
Rosenbrock,0.1,0.888519,-0.852843,0.774716,-0.774716,1.23967,167,NIE
Rosenbrock,0.1,0.95233,-0.127998,0.774716,-4.58366e-07,0.619837,207,NIE
Rosenbrock,0.1,0.187255,0.518113,1.11141e-07,0.774715,0.619837,187,NIE
Rosenbrock,0.1,0.282476,0.0415584,-3.34371e-07,1.91713e-07,2.13625e-11,209,TAK
Rosenbrock,0.1,0.320893,0.79158,-6.69716e-07,0.774716,0.619837,201,NIE
Rosenbrock,0.1,0.0177339,0.151074,-2.90165e-08,-7.31295e-07,1.01577e-11,201,TAK
Rosenbrock,0.1,0.795339,0.327099,0.774716,-4.06495e-07,0.619837,285,NIE
Rosenbrock,0.1,0.000182298,0.846394,-2.84009e-07,0.774715,0.619837,299,NIE
Rosenbrock,0.1,0.803871,-0.45214,0.774716,-2.83721e-07,0.619837,279,NIE
Rosenbrock,0.1,-0.322947,-0.520387,-1.22691e-07,-0.774716,0.619837,217,NIE
Rosenbrock,0.1,0.90404,0.429705,0.774715,0.774716,1.23967,265,NIE
Rosenbrock,0.1,-0.401461,-0.330818,-1.09862e-06,4.59557e-07,5.27889e-12,163,TAK
Rosenbrock,0.1,-0.239923,-0.565382,4.89243e-07,-0.774716,0.619837,265,NIE
Rosenbrock,0.1,-0.16948,0.0988035,5.85075e-08,-9.36024e-07,2.14007e-12,189,TAK
Rosenbrock,0.1,-0.452575,-0.215769,-4.88376e-07,-3.59439e-07,2.68372e-11,225,TAK
Rosenbrock,0.1,0.288176,0.0413956,6.96406e-07,6.27027e-07,5.89617e-12,185,TAK
Rosenbrock,0.1,0.431637,-0.696063,0.774716,-0.774716,1.23967,223,NIE
Rosenbrock,0.1,-0.771028,-0.222315,-0.774716,-1.24952e-06,0.619837,199,NIE
Rosenbrock,0.1,-0.218757,0.916184,-1.55508e-08,0.774716,0.619837,231,NIE
Rosenbrock,0.1,-0.00680095,0.664327,5.42952e-07,0.774717,0.619837,209,NIE
Rosenbrock,0.1,-0.353884,-0.526542,1.97836e-07,-0.774716,0.619837,185,NIE
Rosenbrock,0.1,0.270337,0.435303,8.51557e-07,0.774715,0.619837,229,NIE
Rosenbrock,0.1,-0.54897,-0.0265659,-0.774716,-2.0924e-07,0.619837,271,NIE
Rosenbrock,0.1,-0.28942,-0.999843,-3.3466e-07,-0.774716,0.619837,235,NIE
Rosenbrock,0.1,0.379201,-0.0717001,0.774717,-1.50063e-07,0.619837,183,NIE
Rosenbrock,0.1,-0.401024,-0.228827,-2.1682e-07,2.58142e-07,4.74265e-12,257,TAK
Rosenbrock,0.1,0.976373,-0.464858,0.774716,-0.774716,1.23967,219,NIE
Rosenbrock,0.1,-0.328575,0.812544,6.63468e-08,0.774716,0.619837,227,NIE
Rosenbrock,0.1,-0.389307,0.0557805,6.75176e-07,-9.72233e-07,1.15574e-11,213,TAK
Rosenbrock,0.1,0.193709,0.219323,-2.65691e-07,-3.72516e-07,2.06186e-11,215,TAK
Rosenbrock,0.1,0.897281,-0.201477,0.774715,-4.65309e-07,0.619837,293,NIE
Rosenbrock,0.1,0.450122,-0.104161,0.774715,5.71563e-07,0.619837,141,NIE
Rosenbrock,0.1,-0.47087,0.880446,-0.774716,0.774716,1.23967,161,NIE
Rosenbrock,0.1,-0.639005,0.67327,-0.774715,0.774715,1.23967,181,NIE
Rosenbrock,0.1,0.032685,0.304795,-7.37295e-09,1.05294e-06,2.18274e-11,223,TAK
Rosenbrock,0.1,0.544688,-0.797206,0.774715,-0.774716,1.23967,207,NIE
Rosenbrock,0.1,0.595897,0.867286,0.774716,0.774716,1.23967,265,NIE
Rosenbrock,0.1,0.635007,-0.452323,0.774715,2.78572e-07,0.619837,197,NIE
Rosenbrock,0.1,0.933888,-0.648448,0.774717,-0.774716,1.23967,245,NIE
Rosenbrock,0.1,0.778171,-0.437371,0.774715,1.79169e-07,0.619837,233,NIE
Rosenbrock,0.1,0.844679,0.284893,0.774715,1.33523e-06,0.619837,265,NIE
Rosenbrock,0.1,-0.172826,0.592614,-1.85517e-07,0.774715,0.619837,223,NIE
Rosenbrock,0.1,0.992017,-0.412993,0.774716,5.34497e-08,0.619837,247,NIE
Rosenbrock,0.1,-0.983406,0.121258,-0.774716,2.4959e-07,0.619837,309,NIE
Rosenbrock,0.1,-0.540893,0.935637,-0.774715,0.774716,1.23967,227,NIE
Rosenbrock,0.1,0.147748,0.345237,-1.07552e-06,-5.88687e-07,7.9845e-12,225,TAK
Rosenbrock,0.1,-0.348237,0.834229,4.85113e-07,0.774715,0.619837,217,NIE
Rosenbrock,0.1,0.797907,-0.0720378,0.774716,4.71268e-07,0.619837,265,NIE
Rosenbrock,0.1,-0.623345,0.312909,-0.774716,-3.31026e-07,0.619837,225,NIE
Rosenbrock,0.1,0.591781,-0.489488,0.774715,-0.774716,1.23967,165,NIE
Rosenbrock,0.1,0.107594,0.889889,4.65351e-07,0.774716,0.619837,193,NIE
Rosenbrock,0.1,0.175305,-0.257846,-2.77409e-07,1.41561e-07,7.2149e-12,169,TAK
Rosenbrock,0.1,0.262633,0.791025,-1.39621e-07,0.774716,0.619837,147,NIE
Rosenbrock,0.1,0.174099,-0.393423,-4.33973e-07,-7.56615e-08,1.5518e-11,131,TAK
Rosenbrock,0.1,0.792544,-0.0807138,0.774715,1.10696e-06,0.619837,185,NIE
Rosenbrock,0.1,-0.267791,-0.798773,-5.82588e-07,-0.774716,0.619837,183,NIE
Rosenbrock,0.1,-0.434704,-0.292011,2.95745e-07,4.91067e-07,2.59914e-11,213,TAK
Rosenbrock,0.1,-0.872306,0.71705,-0.774715,0.774716,1.23967,197,NIE
Rosenbrock,0.1,0.663544,0.343052,0.774716,-1.01184e-07,0.619837,227,NIE
Rosenbrock,0.1,0.131083,-0.124916,-5.08533e-07,6.11078e-07,6.01164e-12,213,TAK
Rosenbrock,0.1,0.473579,0.593029,0.774716,0.774716,1.23967,253,NIE
Rosenbrock,0.1,-0.81082,-0.709576,-0.774716,-0.774715,1.23967,313,NIE
Rosenbrock,0.1,-0.543184,-0.0391619,-0.774716,3.73974e-07,0.619837,209,NIE
Rosenbrock,0.1,0.998265,-0.0920898,0.774715,-3.46278e-07,0.619837,147,NIE
Rosenbrock,0.1,0.159902,0.439759,-6.47268e-07,0.774715,0.619837,237,NIE
Rosenbrock,0.1,-0.269886,-0.575089,6.18316e-07,-0.774717,0.619837,289,NIE
Rosenbrock,0.1,0.836871,0.516605,0.774715,0.774716,1.23967,195,NIE
Rosenbrock,0.1,0.0855424,-0.361659,1.15573e-06,-4.31839e-08,1.25184e-11,163,TAK
Rosenbrock,0.1,0.232141,-0.36058,1.60902e-07,-2.3731e-07,1.45071e-11,241,TAK
Rosenbrock,0.1,0.996702,-0.954685,0.774716,-0.774716,1.23967,275,NIE
Rosenbrock,0.1,-0.396383,0.893718,-1.34537e-06,0.774715,0.619837,285,NIE
Rosenbrock,0.1,-0.911204,0.0571864,-0.774716,3.202e-07,0.619837,223,NIE
Rosenbrock,0.1,-0.611531,-0.578342,-0.774716,-0.774716,1.23967,259,NIE
Rosenbrock,0.1,0.654579,-0.353716,0.774716,-3.7328e-08,0.619837,295,NIE
Rosenbrock,0.1,-0.63506,0.757317,-0.774716,0.774715,1.23967,209,NIE
Rosenbrock,0.1,0.0219124,0.954544,1.33824e-07,0.774716,0.619837,253,NIE
Rosenbrock,0.1,0.622291,0.242869,0.774716,-8.15832e-07,0.619837,275,NIE
Rosenbrock,0.1,0.557507,0.482911,0.774716,0.774715,1.23967,211,NIE
Rosenbrock,0.1,0.863199,0.229796,0.774717,-3.30619e-07,0.619837,295,NIE
Rosenbrock,0.1,-0.339598,-0.239646,2.33745e-07,-5.93932e-07,1.37246e-11,245,TAK
Rosenbrock,0.1,-0.677857,-0.934949,-0.774715,-0.774715,1.23967,289,NIE
Rosenbrock,0.1,0.527209,-0.0125232,0.774715,-6.99284e-07,0.619837,253,NIE
Rosenbrock,0.1,-0.935435,0.279864,-0.774716,-1.84098e-08,0.619837,187,NIE
Rosenbrock,0.1,-0.365137,-0.278823,1.05563e-06,-3.72278e-09,1.52984e-11,225,TAK
Rosenbrock,0.1,-0.866228,-0.380831,-0.774715,-1.89613e-07,0.619837,225,NIE
Rosenbrock,0.1,-0.207126,0.555799,-7.77506e-08,0.774716,0.619837,223,NIE
Rosenbrock,0.1,0.84699,0.352552,0.774716,-4.24194e-08,0.619837,253,NIE
Rosenbrock,0.1,0.389763,-0.636556,0.774715,-0.774717,1.23967,249,NIE
Rosenbrock,0.1,-0.566239,-0.462502,-0.774716,1.92512e-07,0.619837,219,NIE
Rosenbrock,0.1,-0.597549,-0.415754,-0.774717,-8.07761e-07,0.619837,245,NIE
Rosenbrock,0.1,0.409856,-0.908172,0.774715,-0.774717,1.23967,201,NIE
Rosenbrock,0.1,-0.663509,0.224788,-0.774716,-6.8297e-07,0.619837,271,NIE
Rosenbrock,0.1,-0.210368,-0.628988,-6.12204e-07,-0.774716,0.619837,261,NIE
Rosenbrock,0.1,0.909007,0.859072,0.774715,0.774716,1.23967,257,NIE
Rosenbrock,0.1,-0.826276,-0.194409,-0.774716,1.87395e-07,0.619837,177,NIE
Rosenbrock,0.5,-0.608398,-0.0878704,-9.09037e-07,-3.41593e-07,0.619837,325,TAK
Rosenbrock,0.5,-0.890205,0.333249,-0.774716,0.774716,1.23967,249,NIE
Rosenbrock,0.5,0.708088,0.71719,0.774715,0.774717,1.23967,211,NIE
Rosenbrock,0.5,0.820941,-0.118907,0.774716,-2.43509e-07,0.619837,211,NIE
Rosenbrock,0.5,0.117288,-0.796533,1.32386e-07,-0.774715,0.619837,219,NIE
Rosenbrock,0.5,-0.379134,0.931251,7.69796e-08,0.774716,0.619837,265,NIE
Rosenbrock,0.5,-0.448561,-0.294357,-8.12343e-07,1.60158e-08,2.47854,205,TAK
Rosenbrock,0.5,-0.849061,-0.141625,-0.774716,2.71155e-07,1.23967,289,NIE
Rosenbrock,0.5,0.927307,-0.378492,0.774715,1.4063e-07,0.619837,267,NIE
Rosenbrock,0.5,0.71408,-0.619127,0.774716,4.07056e-07,1.23967,269,NIE
Rosenbrock,0.5,0.620759,-0.33413,0.774715,1.38924e-06,3.45954e-11,281,NIE
